,forecast_date,product_name,central_mayorista,rolling_forecast
7995,2023-12-08,item_10,location_01,1800.0
7996,2023-12-08,item_01,location_01,1265.0
7997,2023-12-08,item_04,location_01,2202.0
7998,2023-12-08,item_13,location_01,1500.0
7999,2023-12-08,item_08,location_01,2025.0
8000,2023-12-08,item_05,location_01,2500.0
8001,2023-12-08,item_12,location_01,3318.0
8002,2023-12-08,item_06,location_01,2146.0
8003,2023-12-08,item_11,location_01,1413.0
8004,2023-12-08,item_07,location_01,2950.0
8005,2023-12-08,item_02,location_01,9188.0
8006,2023-12-08,item_03,location_01,7163.0
8007,2023-12-08,item_09,location_01,3525.0
8008,2023-12-09,item_05,location_01,2542.0
8009,2023-12-09,item_06,location_01,2042.0
8010,2023-12-09,item_04,location_01,1964.0
8011,2023-12-09,item_10,location_01,1800.0
8012,2023-12-09,item_12,location_01,3864.0
8013,2023-12-09,item_03,location_01,7058.0
8014,2023-12-09,item_09,location_01,3392.0
8015,2023-12-09,item_11,location_01,1600.0
8016,2023-12-09,item_02,location_01,9417.0
8017,2023-12-09,item_01,location_01,1265.0
8018,2023-12-09,item_07,location_01,2933.0
8019,2023-12-09,item_08,location_01,2033.0
8020,2023-12-09,item_13,location_01,1604.0
8021,2023-12-11,item_11,location_01,1525.0
8022,2023-12-11,item_04,location_01,2107.0
8023,2023-12-11,item_01,location_01,1250.0
8024,2023-12-11,item_03,location_01,7063.0
8025,2023-12-11,item_05,location_01,2625.0
8026,2023-12-11,item_08,location_01,2000.0
8027,2023-12-11,item_07,location_01,2975.0
8028,2023-12-11,item_09,location_01,3475.0
8029,2023-12-11,item_06,location_01,2333.0
8030,2023-12-11,item_13,location_01,1806.0
8031,2023-12-11,item_10,location_01,1763.0
8032,2023-12-11,item_02,location_01,9500.0
8033,2023-12-11,item_12,location_01,3852.0
8034,2023-12-12,item_08,location_01,2075.0
8035,2023-12-12,item_03,location_01,7063.0
8036,2023-12-12,item_10,location_01,1763.0
8037,2023-12-12,item_04,location_01,2232.0
8038,2023-12-12,item_11,location_01,1525.0
8039,2023-12-12,item_09,location_01,3250.0
8040,2023-12-12,item_01,location_01,1350.0
8041,2023-12-12,item_02,location_01,9563.0
8042,2023-12-12,item_06,location_01,2323.0
8043,2023-12-12,item_13,location_01,1938.0
8044,2023-12-12,item_05,location_01,2625.0
8045,2023-12-12,item_07,location_01,2950.0
8046,2023-12-12,item_12,location_01,3795.0
8047,2023-12-13,item_03,location_01,7000.0
8048,2023-12-13,item_06,location_01,2417.0
8049,2023-12-13,item_02,location_01,10000.0
8050,2023-12-13,item_12,location_01,3830.0
8051,2023-12-13,item_07,location_01,3825.0
8052,2023-12-13,item_10,location_01,1863.0
8053,2023-12-13,item_08,location_01,2000.0
8054,2023-12-13,item_09,location_01,3250.0
8055,2023-12-13,item_01,location_01,1488.0
8056,2023-12-13,item_05,location_01,3000.0
8057,2023-12-13,item_04,location_01,2268.0
8058,2023-12-13,item_11,location_01,1688.0
8059,2023-12-13,item_13,location_01,2021.0
8060,2023-12-14,item_03,location_01,7031.5
8061,2023-12-14,item_06,location_01,2427.5
8062,2023-12-14,item_02,location_01,10031.5
8063,2023-12-14,item_12,location_01,3786.0
8064,2023-12-14,item_07,location_01,3839.5
8065,2023-12-14,item_10,location_01,1894.0
8066,2023-12-14,item_08,location_01,2000.0
8067,2023-12-14,item_09,location_01,3241.5
8068,2023-12-14,item_01,location_01,1465.0
8069,2023-12-14,item_05,location_01,2948.0
8070,2023-12-14,item_04,location_01,2208.5
8071,2023-12-14,item_11,location_01,1781.5
8072,2023-12-14,item_13,location_01,2035.0
8073,2023-12-15,item_03,location_01,7063.0
8074,2023-12-15,item_06,location_01,2438.0
8075,2023-12-15,item_02,location_01,10063.0
8076,2023-12-15,item_12,location_01,3742.0
8077,2023-12-15,item_07,location_01,3854.0
8078,2023-12-15,item_10,location_01,1925.0
8079,2023-12-15,item_08,location_01,2000.0
8080,2023-12-15,item_09,location_01,3233.0
8081,2023-12-15,item_01,location_01,1442.0
8082,2023-12-15,item_05,location_01,2896.0
